Abfahrt,Zugnr.,nach (Ankunft),Gleis
00:11 Ausfall,RE 73749,Frankfurt(Oder) (an 01:18),1
00:11,RE 73826,Berlin Hbf (an 00:21),6
00:17,RE 7,Lübbenau(Spreewald) (an 19:54),
00:17,RE 94045,Berlin Hbf (an 00:27),
00:43,RE 73796,Brandenburg Hbf (an 01:54),
01:34 (+51),RE 73791,Frankfurt(Oder) (an 02:38),1
01:38 (+2),RE 73752,Berlin Hbf (an 01:48),
04:04,RE 3705,Lübbenau(Spreewald) (an 04:57),
04:09 (+1),ICE 646,Köln Hbf (an 09:33),3
04:15,ICE 277,Chur (an 14:22),6
04:23,RE 2,Düsseldorf Hbf (an 23:53),
04:23,RE 3101,Berlin-Spandau (an 04:53),
04:23,RE 73751,Frankfurt(Oder) (an 05:29),
04:28,RE 73756,Brandenburg Hbf (an 05:33),6
04:41,RE 73801,Frankfurt(Oder) (an 05:36),
04:51,RE 73716,Magdeburg Hbf (an 06:50),7
05:04,RE 3707,Berlin-Wannsee (an 05:34),
05:12,RE 73758,Brandenburg Hbf (an 06:19),
05:15 (+2),ICE 946,Köln Hbf (an 10:35),6
05:28 (+47),RE 73753,Frankfurt(Oder) (an 06:35),1
05:49,RE 73718,Magdeburg Hbf (an 07:50),7
05:56 (+1),ICE 240,Amsterdam Centraal (an 11:59),6
05:59 (+12),EC 41,Warszawa Wschodnia (an 11:15),2
06:04,RE 3709,Berlin-Wannsee (an 06:34),
06:11,RE 73713,Frankfurt(Oder) (an 07:18),
06:12,RE 73760,Potsdam Hbf (an 06:51),
06:15 (+1),ICE 279,Interlaken Ost (an 15:59),6
06:30,RE 73804,Brandenburg Hbf (an 07:33),
06:32 (+1),ICE 644,Köln Hbf (an 11:33),6
06:48,RE 73755,Frankfurt(Oder) (an 07:47),1
06:49,RE 73720,Magdeburg Hbf (an 08:50),6
06:55 (+1),ICE 1548,Köln Hbf (an 12:16),7
07:04,RE 3711,Berlin-Wannsee (an 07:34),
07:06 (+2),ICE 795,Karlsruhe Hbf (an 13:17),6
07:11 (+1),RE 73715,Frankfurt(Oder) (an 08:20),1
07:12,RE 73762,Brandenburg Hbf (an 08:23),
07:30,RE 73806,Brandenburg Hbf (an 08:33),
07:32 (+1),ICE 944,Köln Hbf (an 12:33),6
07:39,RB 18146,Potsdam Hbf (an 08:19),
07:46,IC 60409,Berlin Hbf (an 07:52),6
07:46,NJ 409,Berlin Hbf (an 07:52),6
07:48,RE 73757,Frankfurt(Oder) (an 08:43),1
07:49,RE 73722,Magdeburg Hbf (an 09:50),7
07:56 (+1),ICE 148,Amsterdam Centraal (an 14:01),6
08:00,EC 43,Warszawa Wschodnia (an 13:15),1
08:04,RE 3713,Berlin-Wannsee (an 08:34),
08:11 (+1),RE 73717,Frankfurt(Oder) (an 09:18),1
08:12 (+4),RE 73764,Brandenburg Hbf (an 09:19),
08:17 (+2),ICE 371,Basel SBB (an 15:48),6
08:30,RE 73808,Brandenburg Hbf (an 09:33),1
08:32 (+1),ICE 642,Köln Hbf (an 13:34),6
08:39,RB 18148,Golm (an 09:36),3
